,Unnamed: 0,plot_id,center_lon,center_lat,size_m,shape,sample_points,email,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,pl_plotid,Land Cover Elements:Trees_CanopyCover,Land Cover Elements:bush/scrub,Land Cover Elements:grass,Land Cover Elements:cultivated vegetation,Land Cover Elements:Water>treated pool,Land Cover Elements:Water>lake/ponded/container,Land Cover Elements:Water>rivers/stream,Land Cover Elements:Water>irrigation ditch,Land Cover Elements:shadow,Land Cover Elements:unknown,Land Cover Elements:Bare Ground,Land Cover Elements:Building,Land Cover Elements:Impervious Surface (no building),AOI Number,CEO_BuiltUp,CEO_Trees,CEO_Shrubland,CEO_Grassland,CEO_Cropland,CEO_Water,CEO_Barren,Trees,Shrubland,Grassland,Cropland,Built-up,Barren / Sparse Vegetation,Snow and Ice,Open Water,Herbaceous Wetland,Mangroves,Moss and Lichen
0,0.0,140877071.0,-89.568191,43.076827,square,100.0,100.0,52.0,False,,100.0,2021-07-12 20:13,199.6 secs,,0.0,0,19.0,14.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,19.0,14.0,60.0,0.0,0.0,7.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2058.0,140879129.0,-96.7327307871078,33.127086695985206,square,100.0,100.0,66.0,False,,100.0,2021-07-16 18:04,202.1 secs,,0.0,5523,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,66.0,55.0,74.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,72.0,11.0,0.0,0.0,0.0,0.0,0.0
2,2056.0,140879127.0,-96.74346973763072,33.127086695985206,square,100.0,100.0,66.0,False,,100.0,2021-07-16 05:26,825.2 secs,,0.0,5521,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,31.0,55.0,55.0,5.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,84.0,3.0,0.0,0.0,0.0,0.0,0.0
3,2055.0,140879126.0,-96.7488392128922,33.127086695985206,square,100.0,100.0,66.0,False,,100.0,2021-07-16 05:12,330.0 secs,,0.0,5520,16.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,34.0,55.0,54.0,16.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2054.0,140879125.0,-96.75420868815368,33.127086695985206,square,100.0,100.0,66.0,False,,100.0,2021-07-16 05:07,373.9 secs,,0.0,5519,2.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,33.0,55.0,62.0,2.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,61.0,0.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0
5,2053.0,140879124.0,-96.72736131184632,33.1315833040148,square,100.0,100.0,66.0,False,,100.0,2021-07-16 05:00,222.7 secs,,0.0,5518,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,9.0,23.0,55.0,32.0,1.0,0.0,6.0,0.0,0.0,61.0,0.0,0.0,1.0,0.0,20.0,79.0,0.0,0.0,0.0,0.0,0.0
6,2052.0,140879123.0,-96.7327307871078,33.1315833040148,square,100.0,100.0,66.0,False,,100.0,2021-07-16 04:57,207.6 secs,,0.0,5517,5.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,68.0,55.0,83.0,5.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0
7,2051.0,140879122.0,-96.73810026236926,33.1315833040148,square,100.0,100.0,66.0,False,,100.0,2021-07-16 04:53,309.5 secs,,0.0,5516,18.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,55.0,48.0,18.0,0.0,34.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2050.0,140879121.0,-96.74346973763072,33.1315833040148,square,100.0,100.0,66.0,False,,100.0,2021-07-16 04:48,215.5 secs,,0.0,5515,33.0,0.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,55.0,37.0,33.0,0.0,28.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2049.0,140879120.0,-96.7488392128922,33.1315833040148,square,100.0,100.0,66.0,False,,100.0,2021-07-16 04:44,4855.8 secs,,0.0,5514,16.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,32.0,55.0,68.0,16.0,0.0,14.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,94.0,2.0,0.0,0.0,0.0,0.0,0.0
